,index,rname,fcategory,Rating,lat,long,address,city,phone
230,230,Aanch Modernistic Indian Cuisine,Indian,4.5,43.64476,-79.39066,259 Wellington St W,Toronto,+1 416-599-0513
231,231,Kiin,Thai,4.0,43.647622,-79.3921,326 Adelaide Street W,Toronto,+1 647-490-5040
232,232,Einstein Cafe & Pub,Pubs,3.5,43.65813,-79.39747,229 College Street,Toronto,+1 416-597-8346
233,233,Grey Gardens,Wine Bars,4.5,43.6537999,-79.40143,199 Augusta Avenue,Toronto,+1 647-351-1552
234,234,Nove Trattoria,Italian,4.0,43.68674,-79.3937399,1406 Yonge St,Toronto,+1 647-345-5848
235,235,BlueBlood Steakhouse,Steakhouses,3.5,43.6781099,-79.40948,1 Austin Terrace,Toronto,+1 416-353-4647
236,236,Pig Out BBQ,Barbeque,4.0,43.66317,-79.40253,650 Spadina Avenue,Toronto,+1 416-792-6120
237,237,Tacos El Asador,Mexican,4.0,43.6636499,-79.41686,689 Bloor Street W,Toronto,+1 416-538-9747
238,238,La Banane,French,4.0,43.64904,-79.4203,227 Ossington Avenue,Toronto,+1 416-551-6263
239,239,Mercado Negro,Tapas/Small Plates,5.0,43.67549850405,-79.4547262134196,1370 Street Clair W,Toronto,+1 647-748-1370
240,240,Zakkushi,Japanese,4.5,43.64706,-79.40546,620 Queen Street W,Toronto,+1 416-364-5252
241,241,La Bella Managua,Latin American,4.5,43.66232,-79.42495,872 Bloor Street W,Toronto,+1 416-913-4227
242,242,Porta Nova Restaurant,Portuguese,4.0,43.6694770940543,-79.4382876902819,211 Geary Avenue,Toronto,+1 416-546-3328
243,243,COO Café Bread or Rice,Japanese,4.5,43.6604974734537,-79.4319278374314,1049 Bloor Street W,Toronto,+1 647-351-5166
244,244,Café Polonez,Polish,4.5,43.64514,-79.44831,195 Roncesvalles Avenue,Toronto,+1 416-532-8432
245,245,Levetto,Italian,4.0,43.64152,-79.4221,68 Sudbury Street,Toronto,+1 647-350-3933
246,246,Khmer Thai Restaurant,Thai,4.0,43.67937,-79.43781,1018 St Clair Avenue W,Toronto,+1 416-654-0609
247,247,Cluny Bistro & Boulangerie,French,3.5,43.6505879,-79.3578962,35 Tank House Lane,Toronto,+1 416-203-2632
248,248,Mengrai Thai,Thai,4.0,43.6541,-79.366917,82 Ontario Street,Toronto,+1 416-840-2754
249,249,Zakkushi On Carlton,Japanese,4.0,43.66343,-79.37062,193 Carlton Street,Toronto,+1 647-352-9455
250,250,Koyoi Restaurant & Bar,Japanese,4.0,43.6666786252858,-79.3854676187038,2 Irwin Avenue,Toronto,+1 647-351-5128
251,251,Trattoria Taverniti,Italian,4.0,43.65511,-79.41348,591 College Street,Toronto,+1 416-537-0078
252,252,Eastside Social,Seafood,4.0,43.661432,-79.339113,1008 Queen Street E,Toronto,+1 416-461-5663
253,253,Manpuku Japanese Eatery,Japanese,4.0,43.65406,-79.39101,105 McCaul Street,Toronto,+1 416-979-6763
254,254,Campechano Taquería,Mexican,4.0,43.64586,-79.40077,504 Adelaide Street W,Toronto,+1 416-777-2800
255,255,Pow Wow Cafe,Canadian (New),4.5,43.65412,-79.40151,213 Augusta Avenue,Toronto,+1 416-551-7717
256,256,Kaito Sushi,Sushi Bars,4.0,43.67737,-79.44452,1211 St Clair Ave W,Toronto,+1 416-792-6796
257,257,Saigon PAI,Thai,4.5,43.663435,-79.367799,446 Parliament Street,Toronto,+1 416-920-8424
258,258,Lake Inez,Bars,4.5,43.67234,-79.32064,1471 Gerrard Street E,Toronto,+1 416-792-1590
259,259,Jatujak,Food Delivery Services,4.0,43.7360274,-79.3075152,1744 Victoria Park Avenue,Toronto,+1 647-352-1744
260,260,The Senator,Breakfast & Brunch,4.0,43.65574,-79.37896,249 Victoria Street,Toronto,+1 416-364-7517
261,261,The Ace,Comfort Food,4.0,43.64613,-79.44865,231A Roncesvalles Avenue,Toronto,+1 416-792-7729
262,262,Bar Raval,Spanish,4.0,43.6558432,-79.4099433,505 College Street,Toronto,+1 647-344-8001
263,263,Flame Food+Design,Canadian (New),4.5,43.6511699407415,-79.4751231579362,2197 Bloor Street W,Toronto,+1 416-762-6000
264,264,Friday Roots,Soul Food,4.5,43.65138,-79.41134,876 Dundas Street West,Toronto,+1 647-812-3319
265,265,The Chase,Seafood,3.5,43.651071,-79.379349,10 Temperance Street,Toronto,+1 647-348-7000
266,266,Kay Pacha,Peruvian,4.0,43.6815,-79.42793,744 St Clair Avenue W,Toronto,+1 416-658-0568
267,267,BauZza BauZza,Soup,3.5,43.65798,-79.40163,298 College St,Toronto,+1 647-347-8298
268,268,TORA,Japanese,3.5,43.7244555742087,-79.45526187686,612B-3401 Dufferin Street,Toronto,
269,269,Fat Pasha,Middle Eastern,4.0,43.67387,-79.41171,414 Dupont Street,Toronto,+1 647-340-6142
270,270,Bonimi,Cafes,4.5,43.64513,-79.52041,3319 Bloor Street  W,Toronto,+1 416-847-1188
271,271,Los Guaca-Moles,Mexican,4.0,43.6645463784929,-79.4153123667649,690 Euclid Avenue,Toronto,+1 647-347-5031
272,272,AMA,Argentine,4.0,43.6450416882219,-79.4161209091544,930 Queen Street W,Toronto,+1 647-349-9262
273,273,Viajero Cantina,Mexican,4.5,43.65534,-79.45636,1661 Bloor Street West,Toronto,+1 437-771-5681
274,274,Mezes,Greek,4.0,43.678004,-79.3502135,456 Danforth Avenue,Toronto,+1 416-778-5150
275,275,Lee Chen Asian Bistro,Dim Sum,4.0,43.6473690555399,-79.3867627903819,214 King Street W,Toronto,+1 416-519-8688
276,276,Little Piggy's - Authentic Korean BBQ,Korean,3.5,43.6659,-79.406785,469 Bloor St W,Toronto,+1 416-972-1674
277,277,Edulis,Spanish,4.0,43.64192,-79.4066,169 Niagara Street,Toronto,+1 416-703-4222
278,278,The Captain's Boil,Cajun/Creole,5.0,43.71582,-79.39989,2655 Yonge St,Toronto,+1 416-485-2655
279,279,Cherry Street Bar-B-Que,Barbeque,4.0,43.6456,-79.35229,275 Cherry Street,Toronto,+1 416-461-5111
280,280,Té,Taiwanese,4.0,43.64575,-79.41964,70 Ossington Avenue,Toronto,+1 647-348-8009
281,281,Campo,Spanish,4.0,43.6551179748791,-79.4869590167577,244 Jane Street,Toronto,+1 647-346-2267
282,282,La Maquette,Venues & Event Spaces,4.0,43.64981,-79.37383,111 King Street E,Toronto,+1 416-361-9666
283,283,The Carbon Bar,Barbeque,4.0,43.6531872633836,-79.3747868765724,99 Queen Street E,Toronto,+1 416-947-7000
284,284,98 Aroma,Chinese,4.0,43.65699,-79.40001,440 Spadina Avenue,Toronto,+1 416-968-9888
285,285,King Rustic,Comfort Food,4.0,43.6418019534315,-79.4121160358191,905 King Street W,Toronto,+1 416-792-5910
286,286,Napoli Centrale,Italian,4.5,43.6695182,-79.4129745,964 Bathurst Street,Toronto,+1 416-901-6791
287,287,Lady Marmalade,Breakfast & Brunch,4.0,43.66319,-79.35134,265 Broadview Avenue,Toronto,+1 647-351-7645
288,288,Tokyo Hot Fried Chicken,Food Trucks,4.0,43.64568,-79.39257,365 King St W,Toronto,
289,289,Shoushin,Japanese,4.0,43.73133,-79.40416,3328 Yonge Street,Toronto,+1 416-488-9400
290,290,East Thirty-Six,Cocktail Bars,4.0,43.6484529,-79.3750706,36 Wellington Street E,Toronto,+1 647-350-3636
291,291,Descendant Detroit Style Pizza,Pizza,4.5,43.6627782074977,-79.332169532679,1168 Queen Street E,Toronto,+1 647-347-1168
292,292,Terrazza,Italian,4.0,43.6590509,-79.4223089,372 Harbord Street,Toronto,+1 647-343-3283
293,293,Ufficio,Seafood,4.0,43.64956,-79.4231,1214 Dundas Street W,Toronto,+1 416-535-8888
294,294,Cinco Mexican Restaurant,Mexican,4.5,43.643092,-79.447663,131 Roncesvalles Ave,Toronto,+1 647-245-8380
295,295,Le Swan,French,4.0,43.6452699,-79.4149,892 Queen St W,Toronto,+1 416-536-4440
296,296,Pho Tien Thanh,Vietnamese,4.0,43.6455399,-79.41896,57 Ossington Avenue,Toronto,+1 416-588-6997
297,297,Gyubee Japanese Grill - Dundas,Japanese,4.5,43.6551427,-79.3857634,157 Dundas St W,Toronto,+1 416-639-1545
298,298,The Annex Commons,Pizza,4.5,43.66549,-79.40756,296 Brunswick Ave,Toronto,+1 647-277-1179
299,299,Mamakas Taverna,Greek,4.0,43.64596,-79.41986,80 Ossington Avenue,Toronto,+1 416-519-5996
300,300,Homemade Ramen,Chinese,4.0,43.65241,-79.39739,263 Spadina Avenue,Toronto,+1 647-352-6068
301,301,Camel Restaurant,Middle Eastern,5.0,43.67885,-79.34413,675 danforth ave,Toronto,+1 416-778-8999
302,302,Portici,Italian,4.0,43.6726242,-79.3885437,6 Scollard Street,Toronto,+1 647-351-2235
303,303,Auberge du Pommier,French,4.0,43.7468226,-79.4077734,4150 Yonge Street,Toronto,+1 416-222-2220
304,304,Barberian's Steak House,Steakhouses,4.0,43.6576,-79.38212,7 Elm Street,Toronto,+1 416-597-0335
305,305,The Cheesecake Factory,Desserts,3.0,43.7265830523283,-79.453484677124,3401 Dufferin Street,North York,+1 416-781-4477
306,306,Dee,Thai,4.0,43.70108,-79.39681,2013 Yonge Street,Toronto,+1 647-454-4629
307,307,La Palma,Italian,3.5,43.6512699,-79.41009,849 Dundas Street W,Toronto,+1 416-368-4567
308,308,Chop Chop,Chinese,4.0,43.6519395,-79.40702,771 Dundas Street W,Toronto,+1 416-842-8277
309,309,Little Sister,Indonesian,3.5,43.7015676,-79.3970751,2031 Yonge Street,Toronto,+1 416-488-2031
310,310,Rodney's Oyster House,Seafood,4.0,43.644948,-79.396846,469 King Street W,Toronto,+1 416-363-8105
311,311,Oyster Boy,Seafood,4.0,43.6452243474777,-79.4143338791601,872 Queen Street W,Toronto,+1 416-534-3432
312,312,Ooshee Mediterranean Oven,Lebanese,5.0,43.66848,-79.38678,9 Charles Street W,Toronto,
313,313,Sakai Bar,Japanese,5.0,43.6499784722163,-79.4344709068537,1576 Dundas Street West,Toronto,
314,314,Gyukatsu Kyoto Katsugyu,Japanese,3.5,43.65687,-79.37616,134 Dundas Street E,Toronto,+1 416-203-8778
315,315,Bloom Restaurant,Latin American,4.0,43.65017,-79.47968,2315 Bloor Street W,Toronto,+1 416-767-1315
316,316,Hair of the Dog,Pubs,4.0,43.662946823805,-79.379592870241,425 Church Street,Toronto,+1 416-964-2708
317,317,Beerbistro,Bistros,4.0,43.64945,-79.377159,18 King Street E,Toronto,+1 416-861-9872
318,318,Il Covo,Italian,4.0,43.655165915912,-79.4133123010397,585 College Street,Toronto,+1 416-530-7585
319,319,Olio,Mediterranean,4.0,43.6870734407118,-79.5868089089997,801 Dixon Road,Toronto,+1 416-213-7504
320,320,BuaBua Thai,Thai,4.5,43.707555,-79.3756631,1677 Bayview Avenue,Toronto,+1 416-322-8828
321,321,Constantine,Mediterranean,3.5,43.66858,-79.38537,15 Charles Street E,Toronto,+1 647-475-4436
322,322,Shunoko,Sushi Bars,4.0,43.67741,-79.4442399,1201 St Clair W,Toronto,+1 647-748-7288
323,323,Aviv Immigrant Kitchen,Mediterranean,4.5,43.68078,-79.42912,779 St. Clair Avenue W,Toronto,+1 416-922-2433
324,324,Vicino Italian Kitchen,Italian,4.5,43.6590461,-79.3600043,146 Sumach St,Toronto,
325,325,LOUIX LOUIS,Cocktail Bars,3.5,43.64987,-79.3803,325 Bay Street,Toronto,+1 416-637-5550
326,326,El Sazón Mexicano,Mexican,4.0,43.6770608350774,-79.4477873673694,1284 St Clair Avenue W,Toronto,+64 7-344 0119
327,327,Katsuya,Japanese,4.5,43.7899221078355,-79.4184596229012,6048 Yonge Street,Toronto,+1 647-729-6161
328,328,Smith Bros.,Steakhouses,4.0,43.7288866354086,-79.2882227897644,880 Warden Avenue,Toronto,+1 416-751-3100
329,329,Long Time No See,Barbeque,3.0,43.65318,-79.39524,421 Dundas Street W,Toronto,+1 416-848-8887
330,330,Daddyo's Pasta & Salads,Italian,4.0,43.6645899,-79.40234,673 Spadina Avenue,Toronto,+1 416-598-5522
331,331,Hong Kong Bistro Cafe,Chinese,4.0,43.65348,-79.39686,472 Dundas Street W,Toronto,+1 416-598-9188
332,332,Union Social Eatery,American (Traditional),4.0,43.687794516424,-79.3950692564249,21 Saint Clair Avenue W,Toronto,+1 416-901-3456
333,333,Annette Food Market,Italian,4.0,43.6625426477784,-79.471127986908,240 Annette Street,Toronto,+1 416-519-4103
334,334,Naanspot- Modern Indian Cuisine,Indian,4.5,43.65776,-79.4022,310 College Street,Toronto,+1 647-343-6226
335,335,Luna Junction,Portuguese,4.5,43.6656,-79.46276,2800 Dundas St W,Toronto,+1 416-762-4116
336,336,JaBistro,Japanese,4.0,43.64989,-79.38821,222 Richmond Street West,Toronto,+1 647-748-0222
337,337,La Cubana,Cuban,4.0,43.6462083,-79.419674,92 Ossington Avenue,Toronto,+1 416-537-0134
338,338,Sidebar,Pizza,4.0,43.67627,-79.35676,161 Danforth Avenue,Toronto,+1 647-350-7227
339,339,Lamesa Filipino Kitchen,Filipino,4.0,43.682297,-79.423948,634 St Clair Avenue W,Toronto,+1 647-343-1110
340,340,32 Chicken St.,Korean,4.5,43.6564,-79.40651,409 College Street,Toronto,+1 647-748-0032
341,341,EAT BKK Thai Kitchen,Thai,4.0,43.75926,-79.4105455,4704 Yonge Street,Toronto,+1 647-352-8989
342,342,Zezafoun Syrian Cuisine,Syrian,4.5,43.70267,-79.39712,4 Manor Road E,Toronto,+1 416-322-7707
343,343,Southern Accent Restaurant,Southern,4.0,43.65416,-79.42289,839 College Street,Toronto,+1 416-901-3211
344,344,Forget Me Not Cafe,Vietnamese,4.0,43.7304611,-79.4665298,883 Wilson Avenue,Toronto,+1 647-627-0883
345,345,Wvrst,German,4.0,43.64418555054,-79.401014855291,609 King Street W,Toronto,+1 416-703-7775
346,346,Momo Hut & Gardens,Himalayan/Nepalese,4.5,43.6773492,-79.3513541,401 Danforth Avenue,Toronto,+1 416-363-8580
347,347,The Hole In the Wall,Pubs,4.5,43.66518,-79.46515,2867 Dundas Street W,Toronto,+1 647-350-3564
348,348,The Golden Pheasant,Modern European,4.5,43.57077,-79.56565,733 Lakeshore Road E,Mississauga,+1 905-781-9374
349,349,Kaiseki Yu-zen Hashimoto,Japanese,4.5,43.72596,-79.33403,6 Garamond Court,Toronto,+1 416-444-7100
350,350,The Grand Hotel & Suites,Hotels,4.0,43.65646,-79.37376,225 Jarvis St,Toronto,+1 416-863-9000
351,351,Raza Cerveceria Brewing,Brewpubs,5.0,43.650983,-79.450606,403 Roncesvalles Avenue,Toronto,+1 647-568-9378
352,352,Greta Solomon's,French,4.5,43.66232,-79.33535,1118 Queen Street E,Toronto,+1 647-347-8640
353,353,Madrina Bar y Tapas,Tapas Bars,4.0,43.65044,-79.35992,2 Trinity Street,Toronto,+1 416-548-8055
354,354,Centrale Bergham,Burgers,4.5,43.64808,-79.4004,482 Queen Street W,Toronto,+1 416-901-9095
355,355,Saigon Lotus,Vietnamese,4.5,43.65449,-79.39928,6 St Andrew Street,Toronto,+1 416-901-1115
356,356,Chick-fil-A,Fast Food,4.0,43.66954,-79.3861,709 Yonge St,Toronto,+1 416-475-6002
357,357,Hot Pot Restaurant,Caribbean,4.5,43.6974669682301,-79.4413521140814,1545 Eglinton Avenue  W,Toronto,+1 416-460-5183
358,358,La Carnita,Mexican,3.5,43.656012010874,-79.4096839427948,501 College Street,Toronto,+1 416-964-1555
359,359,Hacienda las Américas,Mexican,4.5,43.65688,-79.40703,424 College Street,Toronto,+1 647-347-2931
360,360,Herby Restaurant,Persian/Iranian,4.5,43.6774,-79.35147,397 Danforth Ave,Toronto,
361,361,VOS Restaurante Argentino,Argentine,4.5,43.6541131320243,-79.4230899587274,847 College Street,Toronto,+1 416-530-0847
362,362,SugarKane,Caribbean,4.5,43.67892,-79.34361,699 Danforth Avenue,Toronto,+1 416-469-0808
363,363,La Palette,French,4.0,43.64797,-79.40098,492 Queen Street W,Toronto,+1 416-929-4900
364,364,Soba Canada,Japanese,4.0,43.6713,-79.38382,120 Bloor Street E,Toronto,+1 416-436-7997
365,365,Xola Mexican Food,Mexican,4.0,43.6725435,-79.2881094,2222A Queen Street  E,Toronto,+1 647-827-9070
366,366,Shatter Abbas,Persian/Iranian,4.5,43.6397334104565,-79.3826601676435,218 Queens Quay W,Toronto,+1 416-551-8010
367,367,The Jester On Yonge,Pubs,2.5,43.6877,-79.39346,1427 Yonge Street,Toronto,+1 416-323-3421
368,368,Dark Horse,Pubs,2.5,43.64941,-79.48302,2401 Bloor St W,Toronto,+1 416-769-4696
369,369,Artisan Plus,Noodles,4.0,43.65578,-79.38444,122 Dundas St W,Toronto,+1 416-599-3189
370,370,El Catrin Destileria,Mexican,3.5,43.65052,-79.35883,18 Tank House Lane,Toronto,+1 416-203-2121
371,371,Estiatorio VOLOS,Seafood,4.0,43.65016,-79.38477,133 Richmond St W,Toronto,+1 416-861-1211
372,372,Union,French,4.0,43.64577,-79.41974,72A Ossington Avenue,Toronto,+1 416-850-0093
373,373,MARBL Restaurant,American (Traditional),3.5,43.64499,-79.39598,455 King Street West,Toronto,+1 416-979-2660
374,374,St Lawrence Market,Farmers Market,4.5,43.6487301,-79.3715409,93-95 Front Street E,Toronto,+1 416-392-7219
375,375,Phat Kaphrao,Thai,4.0,43.7179405382064,-79.4297083094716,3016B Bathurst Street,Toronto,+1 416-789-4085
376,376,Burdock,Bars,3.5,43.6594874003951,-79.4378667938658,1184 Bloor Street W,Toronto,+1 416-546-4033
377,377,Avant Gout Restaurant,French,4.0,43.67864,-79.39045,1108 Yonge Street,Toronto,+1 416-916-3681
378,378,Terroni,Italian,3.5,43.6507999,-79.3756,57A Adelaide Street E,Toronto,+1 416-203-3093
379,379,12 Tables,Mediterranean,4.0,43.7233723514959,-79.4162779227216,1552 Avenue Road,Toronto,+1 416-590-7819
380,380,Tonkin Vietnamese,Vietnamese,4.5,43.69688,-79.45123,2404 Dufferin Street,Toronto,+1 416-784-1491
381,381,10tation Event Catering,Caterers,4.5,43.63224,-79.52947,232 Norseman Street,Toronto,+1 416-243-5144
382,382,The Cherie  Bistro,Italian,4.0,43.66512,-79.3808763,538 Church Street,Toronto,+1 416-968-1010
383,383,Quetzal,Mexican,4.0,43.656524297994,-79.4069881075464,419 College Street,Toronto,+1 647-347-3663
384,384,Mezu,Korean,4.5,43.64938,-79.42787,1375 Dundas Street W,Toronto,+1 647-346-8858
385,385,Borrel,Desserts,3.5,43.682065845688,-79.3290362994545,1333 Danforth Avenue,Toronto,+1 647-349-5722
386,386,Jamie's Italian,Italian,3.0,43.7266461512688,-79.4530578107046,3401 Dufferin Street,Toronto,+1 416-238-7450
387,387,King's Tacos,Mexican,4.0,43.67803,-79.4440599,1190 St Clair Avenue W,Toronto,+1 647-342-0262
388,388,Dasoni,Korean,4.5,43.68233,-79.42381,630 St Clair Ave W,Toronto,+1 647-343-2878
389,389,Lucy Ethiopian Kitchen,Ethiopian,4.5,43.6841128,-79.3207142,1690 Danforth Avenue,Toronto,+1 416-406-0534
390,390,Tabülè Middle Eastern Cuisine,Middle Eastern,4.0,43.659652,-79.346481,810 Queen Street  E,Toronto,+1 416-465-2500
391,391,Hibachi Teppanyaki & Bar,Japanese,3.5,43.6431385252454,-79.4020506514614,550 Wellington Street W,Toronto,+1 416-367-3888
392,392,Woodlot Restaurant,Vegetarian,4.0,43.65578,-79.40988,293 Palmerston Avenue,Toronto,+1 647-342-6307
393,393,Jules Bistro,French,4.0,43.64502,-79.41592,924 Queen Street W,Toronto,+1 416-533-5454
394,394,The Irv Gastro Pub,Burgers,4.5,43.6635399,-79.3705826,195 Carlton Street,Toronto,+1 647-350-4787
395,395,Canis,Canadian (New),4.5,43.6460933596731,-79.4101145473278,746 Queen Street W,Toronto,+1 416-203-3317
396,396,Hancook Cheese Dakgalbi,Korean,4.0,43.66457,-79.41304,605 Bloor Street W,Toronto,+1 416-516-1222
397,397,Chine Legendary Hot Pot & Noodles,Chinese,4.0,43.6545068365465,-79.3984092772007,327 Spadina Avenue,Toronto,+1 416-979-1776
398,398,The Bagel House,Bagels,4.0,43.70483,-79.37496,1548 Bayview Avenue,Toronto,+1 416-481-8184
399,399,School Restaurant,Bakeries,3.5,43.63784,-79.42435,70 Fraser Avenue,Toronto,+1 416-588-0005
400,400,Fudao noodle house,Chinese,4.0,43.65461,-79.39905,358 Spadina ave,Toronto,+1 647-346-8588
401,401,Hogtown Smoke,Barbeque,4.0,43.64909,-79.37433,55 Colborne Street,Toronto,+1 416-691-9009
402,402,Favorites,Salad,4.0,43.6473606954857,-79.4201145725201,141 Ossington Avenue,Toronto,
403,403,The Local,Bars,3.5,43.6510309,-79.4510022,396 Roncesvalles Avenue,Toronto,+1 416-535-6225
404,404,Rosedale Diner,Diners,3.5,43.68036,-79.3912299,1164 Yonge Street,Toronto,+1 416-923-3122
405,405,Lao Thai Restaurant,Thai,4.0,43.6426406,-79.4273649,4 Gladstone Avenue,Toronto,+1 416-855-2028
406,406,EAT BKK Queen West,Thai,4.0,43.64743,-79.40376,580 Queen Street W,Toronto,+1 416-862-8424
407,407,Daan Go Cafe,Cafes,4.0,43.80929,-79.2903,3380 Midland Avenue,Toronto,+1 647-245-2112
408,408,Isaan Der,Thai,4.0,43.6652858,-79.4679385,2961 Dundas Street W,Toronto,+1 416-604-0062
409,409,The Commoner,Gastropubs,4.0,43.65191,-79.44797,2067 Dundas Street W,Toronto,+1 647-351-2067
410,410,The Federal,Breakfast & Brunch,4.0,43.6497699,-79.43011,1438 Dundas Street W,Toronto,+1 647-352-9120
411,411,Ascari Enoteca,Italian,4.0,43.6619301,-79.3353424,1111 Queen Street E,Toronto,+1 416-792-4157
412,412,MEXITACO,Mexican,4.0,43.70862,-79.29554,1109 Victoria Park Avenue,Toronto,+1 647-349-6603
413,413,Fuwa Fuwa Japanese Pancakes,Desserts,4.0,43.6659512785201,-79.4078764691949,408 Bloor Street W,Toronto,+1 647-618-2868
414,414,Koricancha Restaurant,Peruvian,4.5,43.6951899,-79.45153,1885 Eglinton Avenue W,Toronto,+1 647-347-0584
415,415,Pomegranate Restaurant,Middle Eastern,4.0,43.6569,-79.40694,420 College Street,Toronto,+1 416-921-7557
416,416,Speducci Mercatto,Meat Shops,4.5,43.7048492,-79.4728165,46 Milford Avenue,Toronto,+1 416-242-2777
417,417,Rikkochez,Mediterranean,4.5,43.67711,-79.35317,341 Danforth Avenue,Toronto,+1 416-463-9000
418,418,Great Canadian Diner,Canadian (New),5.0,43.65539,-79.41418,598 College St,Toronto,+1 416-616-2028
419,419,Bacan,Argentine,4.0,43.6501,-79.4502,369 Roncesvalles Avenue,Toronto,+1 416-535-2222
420,420,Sala Modern Thai Kitchen & Bar,Thai,4.5,43.6819991223223,-79.3307374790311,1262 Danforth Avenue,Toronto,+1 416-405-9999
421,421,Seor Ak San,Korean,4.0,43.65557,-79.3986,357 Spadina Avenue,Toronto,+1 416-977-2788
422,422,Pray Tell,Cocktail Bars,4.0,43.65452,-79.42307,838 College Street,Toronto,+1 647-340-7729
423,423,Ascari King,Wine Bars,4.0,43.6445600941281,-79.4008001312613,620 King Street W,Toronto,+1 416-366-3673
424,424,Cellar Door,Italian,4.0,43.6000214,-79.5076675,3003 Lake Shore Boulevard W,Toronto,+1 416-253-0303
425,425,Wow Sushi,Sushi Bars,4.0,43.6685157490107,-79.3868207931519,11 Charles Street,Toronto,+1 416-923-1888
426,426,Filmores Hotel,Hotels,3.0,43.65773,-79.37337,212 Dundas St E,Toronto,+1 416-921-2191
427,427,Hotel Victoria,Hotels,4.0,43.64813,-79.37778,56 Yonge St,Toronto,+1 416-363-1666
428,428,Mermaid Fish and Grill House,Seafood,4.5,43.68879,-79.39207,44 St Clair Avenue E,Toronto,+1 416-546-9158
429,429,Nami Restaurant,Japanese,3.5,43.650977509378,-79.3754126895,55 Adelaide Street E,Toronto,+1 416-362-7373
430,430,Buk Chang Dong Soon Tofu,Korean,4.0,43.66363,-79.4169299,691 Bloor Street W,Toronto,+1 416-537-0972
431,431,Tacos El Asador,Mexican,4.0,43.6636499,-79.41686,689 Bloor Street W,Toronto,+1 416-538-9747
432,432,Hanyang Jokbal,Korean,3.5,43.7889534902826,-79.4183142855763,6016 Yonge Street,Toronto,
433,433,Isabella's Boutique Restaurant,Japanese,4.5,43.670795,-79.297255,2066 Queen St East,Toronto,+1 416-699-5050
434,434,Bistro Five61,Canadian (New),5.0,43.6878395,-79.401329,561 Avenue Road,Toronto,+1 416-923-2233
435,435,Chiang Mai,Thai,4.0,43.62459,-79.48498,84 Park Lawn Rd,Toronto,+1 647-748-8424
436,436,Lee Chen Asian Bistro,Dim Sum,3.5,43.672372,-79.387436,813 Yonge Street,Toronto,+1 416-901-8869
437,437,Oretta,Italian,3.5,43.64392,-79.40163,633 King Street W,Toronto,+1 416-944-1932
438,438,Eggspectation,Breakfast & Brunch,4.0,43.6532721,-79.3812455,483 Bay Street,Toronto,+1 416-979-3447
439,439,A La Carte Kitchen,Caterers,5.0,43.70659,-79.35144,2 Thorncliffe Park Drive,Toronto,+1 416-971-4068
440,440,Khmer Thai Restaurant,Thai,4.0,43.67937,-79.43781,1018 St Clair Avenue W,Toronto,+1 416-654-0609
441,441,Cluny Bistro & Boulangerie,French,3.5,43.6505879,-79.3578962,35 Tank House Lane,Toronto,+1 416-203-2632
442,442,Playa Cabana - Hacienda,Mexican,3.0,43.6770684,-79.3981842,14 Dupont Street,Toronto,+1 647-352-6030
443,443,Nomads Restobar,Gastropubs,4.5,43.6586977012275,-79.3501439318061,701 Queen Street E,Toronto,+1 416-551-1553
444,444,Maha's,Egyptian,4.0,43.67167,-79.32853,226 Greenwood Avenue,Toronto,+1 416-462-2703
445,445,Hokkaido Ramen Santouka,Ramen,4.0,43.656321731393,-79.377499580039,91 Dundas Street E,Toronto,+1 647-748-1717
446,446,Zeal Burgers,Burgers,5.0,43.7003564125732,-79.5175241744238,1926 Weston Road,Toronto,+1 647-352-3933
447,447,Takht-e Tavoos,Persian/Iranian,4.5,43.6524676,-79.4329894,1120 College Street,Toronto,+1 647-352-7322
448,448,Mai Bistro,Asian Fusion,4.5,43.6490027,-79.5285543,4906 Dundas W,Toronto,+1 647-343-3130
449,449,Galleria Supermarket,International Grocery,4.0,43.6645899,-79.38475,558 Yonge Street,Toronto,+1 647-925-4200
450,450,Doo Roo Ae,Korean,3.5,43.6639519,-79.4155197,659 Bloor Street  West,Toronto,+1 647-350-8133
451,451,Evoo Ristorante,Wine Bars,4.0,43.67441,-79.39672,138 Avenue Road,Toronto,+1 647-560-0381
452,452,King Solomon and Queen of Sheba,Ethiopian,4.5,43.6558058248416,-79.3639365211129,360 Queen Street E,Toronto,+1 416-368-9002
453,453,Chotto Matte Toronto,Japanese,3.5,43.6464326899705,-79.37869593187,161 Bay Street,Toronto,+1 416-988-8097
454,454,The Good Son,Pizza,4.0,43.6436501,-79.4227676,1096 Queen Street W,Toronto,+1 416-551-0589
455,455,Aztec's Mine,Mexican,4.0,43.65302,-79.4684988,1986 Bloor Street W,Toronto,+1 647-347-1977
456,456,Bonafide,Cocktail Bars,4.5,43.6541320531879,-79.4015169516206,209 Augusta Avenue,Toronto,+1 647-352-1899
457,457,Pizzeria Libretto,Pizza,4.0,43.64898,-79.42021,221 Ossington Avenue,Toronto,+1 416-532-8000
458,458,Como En Casa,Mexican,4.0,43.6653391464388,-79.3844996650524,565 Yonge Street,Toronto,+1 647-748-6666
459,459,Drake One Fifty,Cocktail Bars,3.5,43.6493542,-79.3846843,150 York Street,Toronto,+1 416-363-6150
460,460,Ardo Restaurant,Italian,4.0,43.65103,-79.36839,243 King Street E,Toronto,+1 647-347-8930
